;Abi;Aca;Aco;Alo;Amu;Ase;Ash;Asp;Ata;Aum;Aun;Tmo;Tur;Tca;Hsp;Sst
Mean_Fit_W&C;0.9403;0.6542;0.8773;0.9789;0.1993;0.9337;0.7512;0.3742;0.99;0.8424;0.9593;0.8893;0.9822;NA;0.8491;0.3403
Fit_CI_lower;0.9337;0.6412;0.8666;0.9756;0.1929;0.9176;0.7382;0.3695;0.9889;0.8291;0.9534;0.8827;0.9801;NA;0.8412;0.3319
Fit_CI_upper;0.9467;0.6666;0.8875;0.9818;0.2056;0.9474;0.7638;0.3788;0.991;0.8547;0.9646;0.8958;0.9841;NA;0.8567;0.349
Sample_size_for_Fit;6140;8744;5581;7013;9617;1230;6780;15492;13959;5638;5270;4614;12427;NA;7696;11164
Mean_piS;0.0018;0.0071;0.0037;0.0051;0.0184;0.0011;0.005;0.0224;0.0034;0.0023;0.0019;0.0036;0.0019;0.002;0.0035;0.0187
piS_CI_lower;0.0017;0.0069;0.0036;0.0049;0.0179;0.001;0.005;0.022;0.0033;0.0022;0.0018;0.0034;0.0019;0.0018;0.0034;0.0183
piS_CI_upper;0.0019;0.0073;0.0039;0.0053;0.0188;0.0013;0.0053;0.0228;0.0035;0.0024;0.002;0.0038;0.002;0.0022;0.0036;0.019
Mean_piN;0.0003;0.0008;0.0005;0.0005;0.0018;0.0002;0.0006;0.0021;0.0007;0.0004;0.0003;0.0004;0.0004;0.0005;0.0005;0.0019
piN_CI_lower;0.0003;0.0008;0.0005;0.0005;0.0017;0.0001;0.0006;0.0021;0.0007;0.0003;0.0003;0.0004;0.0004;0.0005;0.0005;0.0019
piN_CI_upper;0.0003;0.0008;0.0005;0.0006;0.0018;0.0002;0.0007;0.0022;0.0007;0.0004;0.0003;0.0004;0.0004;0.0006;0.0006;0.0019
Mean_piN/piS;0.1821;0.1152;0.1278;0.1051;0.0965;0.1326;0.1253;0.0946;0.1987;0.1568;0.1699;0.1093;0.2084;0.2608;0.1548;0.1017
piNpiS_CI_lower;0.1731;0.1113;0.122;0.1008;0.0938;0.1179;0.1202;0.0924;0.1926;0.1489;0.1615;0.1017;0.1993;0.2438;0.1492;0.0991
piNpiS_CI_upper;0.1914;0.1194;0.1339;0.1096;0.0993;0.1494;0.1304;0.0969;0.205;0.1653;0.1788;0.1173;0.2173;0.2786;0.1605;0.1044
Sample_size_for_pi;19068;13511;14823;11931;10296;7083;15102;15975;17408;14620;15183;8051;18214;21706;13603;12103
Species_range_MCP;57;87;50;3;25;8;1;117;491;212;44;174;107;NA;NA;NA
Species_range_grid_1.0;150;730;330;70;140;90;30;480;1280;670;110;720;360;NA;NA;NA
Max_piS;0.008684661;0.011556166;0.011124133;0.016438844;0.032104612;0.004196633;0.015137912;0.033533424;0.011733379;0.005206402;0.010230937;0.008078343;0.008167093;NA;NA;NA
Slope_rec_piS;0.006382515;0.010593934;0.010096919;0.01599261;0.040093268;0.003421185;0.0186596;0.034594522;0.003782582;0.004418837;0.004098221;0.006506367;0.002238593;NA;NA;NA
Ratio_piS_piMax;4.160122308;1.350345161;2.62197662;2.83408988;1.402132649;3.707668242;2.696671894;1.271437646;3.047138581;2.074045854;4.686816237;1.947387012;3.754442935;NA;NA;NA
Max_piS_sd;0.000330979;0.00016568;0.000200161;0.0001509;0.000338546;0.000420259;0.000145292;0.000371609;0.000468001;0.000118923;0.001191097;0.000245738;0.001113342;NA;NA;NA
Slope_rec_piS_sd;0.000143875;0.000431603;0.000272304;0.000138641;0.001869582;0.000254601;0.000285813;0.002066781;5.51E-05;9.83E-05;0.000348894;0.000110366;0.000167847;NA;NA;NA
Ratio_piS_piMax_sd;0.1812514;0.019651648;0.083742992;0.07744279;0.015708876;0.369289919;0.082181397;0.011595196;0.143207155;0.065781453;0.548336303;0.066568219;0.522465068;NA;NA;NA
Max_piS_inf;0.008042123;0.011236913;0.010778482;0.016141454;0.031426302;0.003409446;0.01485866;0.032829109;0.01094531;0.004989436;0.00810203;0.007618836;0.006562864;NA;NA;NA
Slope_rec_piS_inf;0.006089912;0.009793247;0.009600483;0.01573403;0.03684591;0.00292754;0.018088754;0.030851577;0.003693187;0.00422964;0.003445655;0.006292127;0.002003975;NA;NA;NA
Ratio_piS_piMax_inf;3.815492478;1.315226721;2.462579328;2.688795183;1.372820444;3.045614375;2.538438884;1.249583846;2.803503316;1.952542754;3.71587114;1.822511922;3.000352988;NA;NA;NA
Max_piS_sup;0.009334361;0.011881336;0.011551438;0.016745337;0.03271858;0.005053236;0.015426004;0.034254732;0.012717119;0.00546949;0.012721706;0.00859159;0.01084984;NA;NA;NA
Slope_rec_piS_sup;0.006660478;0.011536293;0.010668286;0.016273339;0.044171604;0.003953963;0.019242512;0.038849823;0.003900765;0.004623862;0.004796708;0.00673011;0.002644978;NA;NA;NA
Ratio_piS_piMax_sup;4.549179404;1.39201279;2.787828412;2.991224392;1.433634909;4.443432254;2.871021974;1.29445456;3.351039939;2.206554094;5.869102126;2.082876332;5.00100822;NA;NA;NA
piN/piS_lowrec;0.247850535;0.124703508;0.249969482;0.243745534;0.114811793;0.406089097;0.230878759;0.102846127;0.249733038;0.235666807;0.199152304;0.153161726;0.22483944;NA;NA;NA
piN/piS_highrec;0.119141124;0.084284621;0.085180936;0.082312592;0.076803591;0.106003475;0.090036525;0.070295701;0.136598349;0.104107992;0.121035204;0.081918305;0.149640896;NA;NA;NA
piMax_fitted;1.598529;0.05145504;0.11702659;2.246284;0.10306294;0.5201291;2.036468;0.07998899;0.0721379;0.10021089;0.03838281;0.0612456;0.2683509;NA;NA;NA
piMax_fitted_inf;1.393211;0.03260429;0.04439856;2.122343;0.06796557;0.4392255;1.621694;0.05292933;0.04038156;0.02275702;0.01304636;0.02507782;0.2419331;NA;NA;NA
piMax_fitted_sup;1.830543;0.09033125;0.21734802;2.385592;0.17039001;0.5501833;3.285868;0.14199681;0.15618458;0.22635371;0.09069489;0.12477304;0.2718433;NA;NA;NA
piMax_fitted_weight;229.043069;18.48122056;6.55769852;1236.023363;17.89300319;81.0896201;20.066135;11.88475562;5.23487223;4.3085799;3.46983433;6.11147171;912.6403101;NA;NA;NA